1 : 3916
10 : 3244
102 : 2388
11 : 2321
110 : 4040
114 : 2148
116 : 3148
13 : 2284
2 : 4208
23 : 3376
24 : 4748
28 : 3528
29 : 2160
3 : 3656
34 : 7914
36 : 6812
38 : 2512
39 : 5612
52 : 3516
53 : 4608
56 : 3776
58 : 2480
59 : 5176
6 : 3152
61 : 2372
63 : 4936
66 : 2304
67 : 4464
76 : 4384
85 : 8124
86 : 7924
9 : 2556
90 : 7488
93 : 3968
94 : 2776
1 110 : 2848
1 24 : 3292
1 29 : 2160
1 34 : 3898
1 36 : 3804
1 38 : 2224
1 61 : 2228
1 66 : 2160
1 85 : 3916
1 86 : 3908
1 90 : 3808
10 34 : 3226
10 36 : 3208
10 39 : 2152
10 59 : 2084
10 85 : 3244
10 86 : 3236
10 90 : 3052
11 34 : 2320
11 39 : 2040
11 85 : 2320
11 86 : 2320
11 90 : 2176
13 34 : 2086
13 85 : 2284
13 86 : 2092
13 90 : 2200
2 23 : 2752
2 28 : 3408
2 34 : 4016
2 36 : 3008
2 39 : 3920
2 53 : 2592
2 59 : 3640
2 63 : 3400
2 67 : 2752
2 76 : 2704
2 85 : 4208
2 86 : 4016
2 90 : 3680
2 93 : 3152
23 28 : 2032
23 34 : 3376
23 36 : 3272
23 39 : 3016
23 53 : 2112
23 56 : 2224
23 59 : 3232
23 63 : 3040
23 67 : 2128
23 76 : 2128
23 85 : 3376
23 86 : 3376
23 90 : 3080
23 93 : 3184
24 34 : 4538
24 36 : 3540
24 38 : 2152
24 39 : 2596
24 52 : 2252
24 53 : 2496
24 58 : 2288
24 61 : 2372
24 66 : 2304
24 67 : 2336
24 76 : 2256
24 85 : 4748
24 86 : 4548
24 90 : 4408
24 94 : 2584
28 34 : 3336
28 36 : 2408
28 39 : 3288
28 53 : 2496
28 59 : 2920
28 63 : 2872
28 67 : 2064
28 85 : 3528
28 86 : 3328
28 90 : 2928
28 93 : 2432
29 34 : 2160
29 36 : 2160
29 85 : 2160
29 86 : 2160
29 90 : 2160
3 34 : 3602
3 36 : 3016
3 39 : 2632
3 59 : 2376
3 63 : 2256
3 67 : 2048
3 85 : 3656
3 86 : 3608
3 90 : 3464
34 36 : 6602
34 38 : 2512
34 39 : 5402
34 52 : 3306
34 53 : 4608
34 56 : 3776
34 58 : 2288
34 59 : 4984
34 61 : 2354
34 63 : 4744
34 66 : 2304
34 67 : 4464
34 76 : 4384
34 85 : 7914
34 86 : 7906
34 90 : 7296
34 93 : 3776
34 94 : 2776
36 38 : 2256
36 39 : 4556
36 52 : 3068
36 53 : 3744
36 56 : 3528
36 58 : 2192
36 59 : 4424
36 61 : 2228
36 63 : 4184
36 66 : 2160
36 67 : 3160
36 76 : 3128
36 85 : 6812
36 86 : 6620
36 90 : 6464
36 93 : 3480
38 85 : 2512
38 86 : 2504
38 90 : 2512
39 52 : 2828
39 53 : 2784
39 56 : 3432
39 59 : 3592
39 63 : 3400
39 67 : 2824
39 76 : 2824
39 85 : 5612
39 86 : 5420
39 90 : 4976
39 93 : 3320
52 85 : 3516
52 86 : 3316
52 90 : 2880
53 56 : 2112
53 59 : 3216
53 63 : 3216
53 67 : 2592
53 76 : 2592
53 85 : 4608
53 86 : 4608
53 90 : 4608
53 93 : 2112
53 94 : 2496
56 59 : 2296
56 63 : 2296
56 85 : 3776
56 86 : 3776
56 90 : 3656
56 93 : 2432
58 85 : 2480
58 86 : 2288
59 63 : 4156
59 67 : 3304
59 76 : 3280
59 85 : 5176
59 86 : 4984
59 90 : 4736
59 93 : 3664
6 85 : 3152
6 86 : 3102
6 90 : 3020
61 85 : 2372
61 86 : 2372
61 90 : 2192
63 67 : 3064
63 76 : 3040
63 85 : 4936
63 86 : 4744
63 90 : 4496
63 93 : 3472
66 85 : 2304
66 86 : 2304
66 90 : 2160
67 76 : 3520
67 85 : 4464
67 86 : 4464
67 90 : 3976
67 93 : 2608
76 85 : 4384
76 86 : 4384
76 90 : 3896
76 93 : 2608
85 86 : 7924
85 90 : 7488
85 93 : 3968
85 94 : 2776
86 90 : 7288
86 93 : 3776
86 94 : 2768
9 90 : 2256
90 93 : 3560
90 94 : 2584
1 110 24 : 2504
1 110 34 : 2848
1 110 36 : 2800
1 110 85 : 2848
1 110 86 : 2848
1 110 90 : 2776
1 24 34 : 3274
1 24 36 : 3188
1 24 61 : 2228
1 24 66 : 2160
1 24 85 : 3292
1 24 86 : 3284
1 24 90 : 3256
1 29 34 : 2160
1 29 36 : 2160
1 29 85 : 2160
1 29 86 : 2160
1 29 90 : 2160
1 34 36 : 3786
1 34 38 : 2224
1 34 61 : 2210
1 34 66 : 2160
1 34 85 : 3898
1 34 86 : 3890
1 34 90 : 3808
1 36 38 : 2112
1 36 61 : 2228
1 36 66 : 2160
1 36 85 : 3804
1 36 86 : 3804
1 36 90 : 3696
1 38 85 : 2224
1 38 86 : 2216
1 38 90 : 2224
1 61 85 : 2228
1 61 86 : 2228
1 61 90 : 2192
1 66 85 : 2160
1 66 86 : 2160
1 66 90 : 2160
1 85 86 : 3908
1 85 90 : 3808
1 86 90 : 3800
10 34 36 : 3190
10 34 39 : 2134
10 34 59 : 2084
10 34 85 : 3226
10 34 86 : 3218
10 34 90 : 3052
10 36 39 : 2152
10 36 59 : 2068
10 36 85 : 3208
10 36 86 : 3208
10 36 90 : 3016
10 39 85 : 2152
10 39 86 : 2152
10 59 85 : 2084
10 59 86 : 2084
10 85 86 : 3236
10 85 90 : 3052
10 86 90 : 3044
11 34 39 : 2040
11 34 85 : 2320
11 34 86 : 2320
11 34 90 : 2176
11 39 85 : 2040
11 39 86 : 2040
11 85 86 : 2320
11 85 90 : 2176
11 86 90 : 2176
13 34 85 : 2086
13 34 86 : 2086
13 85 86 : 2092
13 85 90 : 2200
2 23 34 : 2752
2 23 36 : 2656
2 23 39 : 2656
2 23 59 : 2752
2 23 63 : 2560
2 23 85 : 2752
2 23 86 : 2752
2 23 90 : 2528
2 23 93 : 2560
2 28 34 : 3216
2 28 36 : 2304
2 28 39 : 3216
2 28 53 : 2496
2 28 59 : 2840
2 28 63 : 2792
2 28 85 : 3408
2 28 86 : 3216
2 28 90 : 2880
2 28 93 : 2352
2 34 36 : 2816
2 34 39 : 3728
2 34 53 : 2592
2 34 59 : 3448
2 34 63 : 3208
2 34 67 : 2752
2 34 76 : 2704
2 34 85 : 4016
2 34 86 : 4016
2 34 90 : 3488
2 34 93 : 2960
2 36 39 : 2864
2 36 59 : 2992
2 36 63 : 2752
2 36 85 : 3008
2 36 86 : 2816
2 36 90 : 2768
2 36 93 : 2768
2 39 53 : 2496
2 39 59 : 3376
2 39 63 : 3184
2 39 67 : 2464
2 39 76 : 2464
2 39 85 : 3920
2 39 86 : 3728
2 39 90 : 3392
2 39 93 : 2960
2 53 59 : 2208
2 53 63 : 2208
2 53 85 : 2592
2 53 86 : 2592
2 53 90 : 2592
2 59 63 : 3124
2 59 67 : 2200
2 59 76 : 2176
2 59 85 : 3640
2 59 86 : 3448
2 59 90 : 3272
2 59 93 : 2992
2 63 85 : 3400
2 63 86 : 3208
2 63 90 : 3032
2 63 93 : 2800
2 67 76 : 2272
2 67 85 : 2752
2 67 86 : 2752
2 67 90 : 2336
2 76 85 : 2704
2 76 86 : 2704
2 76 90 : 2288
2 85 86 : 4016
2 85 90 : 3680
2 85 93 : 3152
2 86 90 : 3488
2 86 93 : 2960
2 90 93 : 2816
23 28 34 : 2032
23 28 59 : 2032
23 28 63 : 2032
23 28 85 : 2032
23 28 86 : 2032
23 34 36 : 3272
23 34 39 : 3016
23 34 53 : 2112
23 34 56 : 2224
23 34 59 : 3232
23 34 63 : 3040
23 34 67 : 2128
23 34 76 : 2128
23 34 85 : 3376
23 34 86 : 3376
23 34 90 : 3080
23 34 93 : 3184
23 36 39 : 3016
23 36 56 : 2120
23 36 59 : 3128
23 36 63 : 2936
23 36 85 : 3272
23 36 86 : 3272
23 36 90 : 2976
23 36 93 : 3080
23 39 56 : 2120
23 39 59 : 2872
23 39 63 : 2680
23 39 85 : 3016
23 39 86 : 3016
23 39 90 : 2720
23 39 93 : 2824
23 53 56 : 2112
23 53 85 : 2112
23 53 86 : 2112
23 53 90 : 2112
23 53 93 : 2112
23 56 59 : 2080
23 56 63 : 2080
23 56 85 : 2224
23 56 86 : 2224
23 56 90 : 2120
23 56 93 : 2224
23 59 63 : 2968
23 59 85 : 3232
23 59 86 : 3232
23 59 90 : 2936
23 59 93 : 3040
23 63 85 : 3040
23 63 86 : 3040
23 63 90 : 2744
23 63 93 : 2848
23 67 85 : 2128
23 67 86 : 2128
23 67 93 : 2032
23 76 85 : 2128
23 76 86 : 2128
23 76 93 : 2032
23 85 86 : 3376
23 85 90 : 3080
23 85 93 : 3184
23 86 90 : 3080
23 86 93 : 3184
23 90 93 : 3080
24 34 36 : 3330
24 34 38 : 2152
24 34 39 : 2386
24 34 52 : 2042
24 34 53 : 2496
24 34 58 : 2096
24 34 61 : 2354
24 34 66 : 2304
24 34 67 : 2336
24 34 76 : 2256
24 34 85 : 4538
24 34 86 : 4530
24 34 90 : 4216
24 34 94 : 2584
24 36 61 : 2228
24 36 66 : 2160
24 36 85 : 3540
24 36 86 : 3348
24 36 90 : 3488
24 38 85 : 2152
24 38 86 : 2144
24 38 90 : 2152
24 39 85 : 2596
24 39 86 : 2404
24 39 90 : 2256
24 52 85 : 2252
24 52 86 : 2052
24 53 85 : 2496
24 53 86 : 2496
24 53 90 : 2496
24 53 94 : 2496
24 58 85 : 2288
24 58 86 : 2096
24 61 85 : 2372
24 61 86 : 2372
24 61 90 : 2192
24 66 85 : 2304
24 66 86 : 2304
24 66 90 : 2160
24 67 85 : 2336
24 67 86 : 2336
24 67 90 : 2048
24 76 85 : 2256
24 76 86 : 2256
24 85 86 : 4548
24 85 90 : 4408
24 85 94 : 2584
24 86 90 : 4208
24 86 94 : 2576
24 90 94 : 2584
28 34 36 : 2216
28 34 39 : 3096
28 34 53 : 2496
28 34 59 : 2728
28 34 63 : 2680
28 34 67 : 2064
28 34 85 : 3336
28 34 86 : 3328
28 34 90 : 2736
28 34 93 : 2240
28 36 39 : 2232
28 36 59 : 2360
28 36 63 : 2312
28 36 85 : 2408
28 36 86 : 2216
28 36 90 : 2096
28 36 93 : 2136
28 39 53 : 2496
28 39 59 : 2744
28 39 63 : 2744
28 39 85 : 3288
28 39 86 : 3096
28 39 90 : 2688
28 39 93 : 2328
28 53 59 : 2112
28 53 63 : 2112
