1 : 3916
10 : 3244
101 : 1632
102 : 2388
11 : 2321
110 : 4040
111 : 1712
114 : 2148
116 : 3148
13 : 2284
16 : 1840
2 : 4208
23 : 3376
24 : 4748
28 : 3528
29 : 2160
3 : 3656
34 : 7914
36 : 6812
38 : 2512
39 : 5612
48 : 1728
52 : 3516
53 : 4608
56 : 3776
58 : 2480
59 : 5176
6 : 3152
61 : 2372
63 : 4936
66 : 2304
67 : 4464
69 : 1872
76 : 4384
77 : 1872
85 : 8124
86 : 7924
9 : 2556
90 : 7488
93 : 3968
94 : 2776
98 : 1872
99 : 1968
10 1 : 1740
1 102 : 1812
1 110 : 2848
1 24 : 3292
1 29 : 2160
3 1 : 1708
1 34 : 3898
1 36 : 3804
1 38 : 2224
1 39 : 1692
48 1 : 1728
1 52 : 1900
1 53 : 2016
1 56 : 1856
1 58 : 1760
1 61 : 2228
66 1 : 2160
67 1 : 1712
1 76 : 1680
1 85 : 3916
1 86 : 3908
1 90 : 3808
1 94 : 1768
10 110 : 1792
10 24 : 1652
10 34 : 3226
10 36 : 3208
10 39 : 2152
10 53 : 1728
10 59 : 2084
10 63 : 1844
10 85 : 3244
10 86 : 3236
10 90 : 3052
110 102 : 1824
34 11 : 2320
36 11 : 1672
39 11 : 2040
56 11 : 1680
11 85 : 2320
86 11 : 2320
90 11 : 2176
116 110 : 1904
34 13 : 2086
36 13 : 2004
53 13 : 1696
59 13 : 1668
13 85 : 2284
86 13 : 2092
90 13 : 2200
34 16 : 1840
16 39 : 1728
16 85 : 1840
16 86 : 1840
90 16 : 1688
2 23 : 2752
2 28 : 3408
3 2 : 1948
2 34 : 4016
2 36 : 3008
2 39 : 3920
2 53 : 2592
2 56 : 1920
2 59 : 3640
2 63 : 3400
67 2 : 2752
2 76 : 2704
2 85 : 4208
2 86 : 4016
2 90 : 3680
2 93 : 3152
98 2 : 1648
2 99 : 1744
23 28 : 2032
23 34 : 3376
36 23 : 3272
23 39 : 3016
23 53 : 2112
56 23 : 2224
59 23 : 3232
23 63 : 3040
67 23 : 2128
23 76 : 2128
23 85 : 3376
23 86 : 3376
90 23 : 3080
93 23 : 3184
24 29 : 1872
24 34 : 4538
36 24 : 3540
24 38 : 2152
24 39 : 2596
48 24 : 1728
52 24 : 2252
53 24 : 2496
58 24 : 2288
59 24 : 1944
24 61 : 2372
24 63 : 1896
66 24 : 2304
67 24 : 2336
24 76 : 2256
24 85 : 4748
24 86 : 4548
90 24 : 4408
94 24 : 2584
34 28 : 3336
36 28 : 2408
39 28 : 3288
53 28 : 2496
56 28 : 1904
59 28 : 2920
63 28 : 2872
67 28 : 2064
28 76 : 1984
28 85 : 3528
86 28 : 3328
90 28 : 2928
93 28 : 2432
34 29 : 2160
36 29 : 2160
85 29 : 2160
86 29 : 2160
90 29 : 2160
3 34 : 3602
3 36 : 3016
3 39 : 2632
3 52 : 1640
3 53 : 2016
3 56 : 1932
3 59 : 2376
3 63 : 2256
67 3 : 2048
3 76 : 2024
3 85 : 3656
3 86 : 3608
3 90 : 3464
3 93 : 1924
36 34 : 6602
34 38 : 2512
34 39 : 5402
48 34 : 1728
52 34 : 3306
53 34 : 4608
56 34 : 3776
58 34 : 2288
59 34 : 4984
34 61 : 2354
63 34 : 4744
66 34 : 2304
67 34 : 4464
69 34 : 1872
34 76 : 4384
77 34 : 1872
34 85 : 7914
34 86 : 7906
90 34 : 7296
93 34 : 3776
94 34 : 2776
98 34 : 1872
34 99 : 1920
36 38 : 2256
36 39 : 4556
48 36 : 1728
52 36 : 3068
36 53 : 3744
56 36 : 3528
58 36 : 2192
59 36 : 4424
36 61 : 2228
36 63 : 4184
66 36 : 2160
67 36 : 3160
69 36 : 1872
36 76 : 3128
