1 : 3916
10 : 3244
110 : 4040
116 : 3148
2 : 4208
23 : 3376
24 : 4748
28 : 3528
3 : 3656
34 : 7914
36 : 6812
38 : 2512
39 : 5612
52 : 3516
53 : 4608
56 : 3776
58 : 2480
59 : 5176
6 : 3152
63 : 4936
67 : 4464
76 : 4384
85 : 8124
86 : 7924
9 : 2556
90 : 7488
93 : 3968
94 : 2776
1 110 : 2848
1 24 : 3292
1 34 : 3898
1 36 : 3804
1 85 : 3916
1 86 : 3908
1 90 : 3808
10 34 : 3226
10 36 : 3208
10 85 : 3244
10 86 : 3236
10 90 : 3052
2 23 : 2752
2 28 : 3408
2 34 : 4016
2 36 : 3008
2 39 : 3920
2 53 : 2592
2 59 : 3640
2 63 : 3400
67 2 : 2752
2 76 : 2704
2 85 : 4208
2 86 : 4016
2 90 : 3680
2 93 : 3152
23 34 : 3376
36 23 : 3272
23 39 : 3016
59 23 : 3232
23 63 : 3040
23 85 : 3376
23 86 : 3376
90 23 : 3080
93 23 : 3184
24 34 : 4538
36 24 : 3540
24 39 : 2596
53 24 : 2496
24 85 : 4748
24 86 : 4548
90 24 : 4408
94 24 : 2584
34 28 : 3336
39 28 : 3288
53 28 : 2496
59 28 : 2920
63 28 : 2872
28 85 : 3528
86 28 : 3328
90 28 : 2928
3 34 : 3602
3 36 : 3016
3 39 : 2632
3 85 : 3656
3 86 : 3608
3 90 : 3464
36 34 : 6602
34 38 : 2512
34 39 : 5402
52 34 : 3306
53 34 : 4608
56 34 : 3776
59 34 : 4984
63 34 : 4744
67 34 : 4464
34 76 : 4384
34 85 : 7914
34 86 : 7906
90 34 : 7296
93 34 : 3776
94 34 : 2776
36 39 : 4556
52 36 : 3068
36 53 : 3744
56 36 : 3528
59 36 : 4424
36 63 : 4184
67 36 : 3160
36 76 : 3128
36 85 : 6812
36 86 : 6620
90 36 : 6464
93 36 : 3480
85 38 : 2512
86 38 : 2504
90 38 : 2512
52 39 : 2828
53 39 : 2784
56 39 : 3432
59 39 : 3592
63 39 : 3400
67 39 : 2824
39 76 : 2824
39 85 : 5612
86 39 : 5420
90 39 : 4976
93 39 : 3320
52 85 : 3516
52 86 : 3316
90 52 : 2880
59 53 : 3216
53 63 : 3216
67 53 : 2592
53 76 : 2592
53 85 : 4608
53 86 : 4608
90 53 : 4608
94 53 : 2496
56 85 : 3776
56 86 : 3776
56 90 : 3656
58 85 : 2480
59 63 : 4156
67 59 : 3304
59 76 : 3280
59 85 : 5176
59 86 : 4984
59 90 : 4736
59 93 : 3664
6 85 : 3152
6 86 : 3102
6 90 : 3020
67 63 : 3064
63 76 : 3040
63 85 : 4936
63 86 : 4744
90 63 : 4496
93 63 : 3472
67 76 : 3520
67 85 : 4464
67 86 : 4464
67 90 : 3976
67 93 : 2608
85 76 : 4384
86 76 : 4384
90 76 : 3896
93 76 : 2608
86 85 : 7924
90 85 : 7488
93 85 : 3968
94 85 : 2776
90 86 : 7288
93 86 : 3776
94 86 : 2768
93 90 : 3560
94 90 : 2584
1 110 24 : 2504
1 110 34 : 2848
1 110 36 : 2800
1 110 85 : 2848
1 110 86 : 2848
1 110 90 : 2776
1 24 34 : 3274
1 36 24 : 3188
1 24 85 : 3292
1 24 86 : 3284
1 90 24 : 3256
1 36 34 : 3786
1 34 85 : 3898
1 34 86 : 3890
1 90 34 : 3808
1 36 85 : 3804
1 36 86 : 3804
1 90 36 : 3696
1 86 85 : 3908
1 90 85 : 3808
1 90 86 : 3800
10 36 34 : 3190
10 34 85 : 3226
10 34 86 : 3218
10 90 34 : 3052
10 36 85 : 3208
10 36 86 : 3208
10 90 36 : 3016
10 86 85 : 3236
10 90 85 : 3052
10 90 86 : 3044
2 23 34 : 2752
2 36 23 : 2656
2 23 39 : 2656
2 59 23 : 2752
2 23 63 : 2560
2 23 85 : 2752
2 23 86 : 2752
2 90 23 : 2528
2 93 23 : 2560
2 34 28 : 3216
2 39 28 : 3216
2 53 28 : 2496
2 59 28 : 2840
2 63 28 : 2792
2 28 85 : 3408
2 86 28 : 3216
2 90 28 : 2880
2 36 34 : 2816
2 34 39 : 3728
2 53 34 : 2592
2 59 34 : 3448
2 63 34 : 3208
67 2 34 : 2752
2 34 76 : 2704
2 34 85 : 4016
2 34 86 : 4016
2 90 34 : 3488
2 93 34 : 2960
2 36 39 : 2864
2 59 36 : 2992
2 36 63 : 2752
2 36 85 : 3008
2 36 86 : 2816
2 90 36 : 2768
2 93 36 : 2768
2 53 39 : 2496
2 59 39 : 3376
2 63 39 : 3184
67 2 39 : 2464
2 39 76 : 2464
2 39 85 : 3920
2 86 39 : 3728
2 90 39 : 3392
2 93 39 : 2960
2 53 85 : 2592
2 53 86 : 2592
2 90 53 : 2592
2 59 63 : 3124
2 59 85 : 3640
2 59 86 : 3448
2 59 90 : 3272
2 59 93 : 2992
2 63 85 : 3400
2 63 86 : 3208
2 90 63 : 3032
2 93 63 : 2800
67 2 85 : 2752
67 2 86 : 2752
2 85 76 : 2704
2 86 76 : 2704
2 86 85 : 4016
2 90 85 : 3680
2 93 85 : 3152
2 90 86 : 3488
2 93 86 : 2960
2 93 90 : 2816
36 23 34 : 3272
23 34 39 : 3016
59 23 34 : 3232
23 63 34 : 3040
23 34 85 : 3376
23 34 86 : 3376
90 23 34 : 3080
93 23 34 : 3184
36 23 39 : 3016
59 36 23 : 3128
36 23 63 : 2936
36 23 85 : 3272
36 23 86 : 3272
90 36 23 : 2976
93 36 23 : 3080
59 23 39 : 2872
23 63 39 : 2680
23 39 85 : 3016
23 86 39 : 3016
90 23 39 : 2720
93 23 39 : 2824
59 23 63 : 2968
59 23 85 : 3232
59 23 86 : 3232
59 90 23 : 2936
59 93 23 : 3040
23 63 85 : 3040
23 63 86 : 3040
90 23 63 : 2744
93 23 63 : 2848
23 86 85 : 3376
90 23 85 : 3080
93 23 85 : 3184
90 23 86 : 3080
93 23 86 : 3184
93 90 23 : 3080
36 24 34 : 3330
53 24 34 : 2496
24 34 85 : 4538
24 34 86 : 4530
90 24 34 : 4216
94 24 34 : 2584
36 24 85 : 3540
36 24 86 : 3348
90 36 24 : 3488
24 39 85 : 2596
53 24 85 : 2496
53 24 86 : 2496
90 53 24 : 2496
94 53 24 : 2496
24 86 85 : 4548
90 24 85 : 4408
94 24 85 : 2584
90 24 86 : 4208
94 24 86 : 2576
94 90 24 : 2584
34 39 28 : 3096
53 34 28 : 2496
59 34 28 : 2728
63 34 28 : 2680
34 28 85 : 3336
34 86 28 : 3328
90 34 28 : 2736
53 39 28 : 2496
59 39 28 : 2744
63 39 28 : 2744
39 28 85 : 3288
86 39 28 : 3096
90 39 28 : 2688
53 28 85 : 2496
53 86 28 : 2496
90 53 28 : 2496
59 63 28 : 2596
59 28 85 : 2920
59 86 28 : 2728
59 90 28 : 2480
63 28 85 : 2872
63 86 28 : 2680
86 28 85 : 3328
90 28 85 : 2928
90 86 28 : 2728
3 36 34 : 2962
3 34 39 : 2578
3 34 85 : 3602
3 34 86 : 3602
3 90 34 : 3416
3 36 85 : 3016
3 36 86 : 2968
3 90 36 : 2920
3 39 85 : 2632
3 86 39 : 2584
3 90 39 : 2440
3 86 85 : 3608
3 90 85 : 3464
3 90 86 : 3416
36 34 39 : 4346
52 36 34 : 2858
36 53 34 : 3744
56 36 34 : 3528
59 36 34 : 4232
36 63 34 : 3992
67 36 34 : 3160
36 34 76 : 3128
36 34 85 : 6602
36 34 86 : 6602
90 36 34 : 6272
93 36 34 : 3288
34 85 38 : 2512
34 86 38 : 2504
90 34 38 : 2512
52 34 39 : 2618
53 34 39 : 2784
56 34 39 : 3432
59 34 39 : 3400
63 34 39 : 3208
67 34 39 : 2824
34 39 76 : 2824
34 39 85 : 5402
34 86 39 : 5402
90 34 39 : 4784
93 34 39 : 3128
52 34 85 : 3306
52 34 86 : 3298
90 52 34 : 2688
59 53 34 : 3216
53 63 34 : 3216
67 53 34 : 2592
53 34 76 : 2592
53 34 85 : 4608
53 34 86 : 4608
90 53 34 : 4608
94 53 34 : 2496
56 34 85 : 3776
56 34 86 : 3776
56 90 34 : 3656
59 63 34 : 3964
67 59 34 : 3304
59 34 76 : 3280
59 34 85 : 4984
59 34 86 : 4984
59 90 34 : 4544
59 93 34 : 3472
67 63 34 : 3064
63 34 76 : 3040
63 34 85 : 4744
63 34 86 : 4744
90 63 34 : 4304
93 63 34 : 3280
67 34 76 : 3520
67 34 85 : 4464
67 34 86 : 4464
67 90 34 : 3976
67 93 34 : 2608
34 85 76 : 4384
34 86 76 : 4384
90 34 76 : 3896
93 34 76 : 2608
34 86 85 : 7906
90 34 85 : 7296
93 34 85 : 3776
94 34 85 : 2776
90 34 86 : 7288
93 34 86 : 3776
94 34 86 : 2768
93 90 34 : 3368
94 90 34 : 2584
52 36 39 : 2540
56 36 39 : 3432
59 36 39 : 3064
36 63 39 : 2872
36 39 85 : 4556
36 86 39 : 4364
90 36 39 : 4208
93 36 39 : 3032
52 36 85 : 3068
52 36 86 : 2876
90 52 36 : 2720
59 36 53 : 2736
36 53 63 : 2736
36 53 85 : 3744
36 53 86 : 3744
90 36 53 : 3744
56 36 85 : 3528
56 36 86 : 3528
56 90 36 : 3408
59 36 63 : 3680
67 59 36 : 2552
59 36 76 : 2552
59 36 85 : 4424
59 36 86 : 4232
59 90 36 : 4128
59 93 36 : 3320
36 63 85 : 4184
36 63 86 : 3992
90 36 63 : 3888
93 36 63 : 3128
67 36 85 : 3160
67 36 86 : 3160
67 90 36 : 2960
36 85 76 : 3128
36 86 76 : 3128
90 36 76 : 2928
36 86 85 : 6620
90 36 85 : 6464
93 36 85 : 3480
90 36 86 : 6272
93 36 86 : 3288
93 90 36 : 3360
86 85 38 : 2504
90 85 38 : 2512
90 86 38 : 2504
52 39 85 : 2828
52 86 39 : 2636
53 39 85 : 2784
53 86 39 : 2784
90 53 39 : 2784
56 39 85 : 3432
56 86 39 : 3432
56 90 39 : 3312
59 63 39 : 3064
59 39 85 : 3592
59 86 39 : 3400
59 90 39 : 3152
59 93 39 : 3016
63 39 85 : 3400
63 86 39 : 3208
90 63 39 : 2960
93 63 39 : 2824
67 39 85 : 2824
67 86 39 : 2824
39 85 76 : 2824
86 39 76 : 2824
86 39 85 : 5420
90 39 85 : 4976
93 39 85 : 3320
90 86 39 : 4784
93 86 39 : 3128
93 90 39 : 2912
52 86 85 : 3316
90 52 85 : 2880
90 52 86 : 2680
59 53 63 : 2520
59 53 85 : 3216
59 53 86 : 3216
